x,y,z
-1898,156,-58
-1763,-51,-153
-1507,-316,-163
-1227,-507,0
-963,-590,161
-643,-626,217
-270,-595,212
13,-500,258
205,-381,335
307,-287,352
307,-287,335
132,-406,317
-221,-537,266
-732,-600,171
-1271,-440,128
-1675,-142,97
-1915,282,112
-1990,750,176
-1855,1178,372
-1628,1526,497
-1362,1767,561
-1072,1898,592
-808,1977,631
-592,2022,620
-543,2048,590
-751,2030,518
-1145,1927,497
-1586,1598,495
-1887,1097,500
-1971,511,391
-1828,47,320
-1580,-263,330
-1233,-478,337
-735,-607,291
-195,-568,245
202,-376,197
431,-187,197
603,18,212
683,147,215
692,147,190
590,-21,176
377,-221,61
156,-385,-97
-121,-485,-276
-350,-537,-350
-398,-585,-242
-353,-605,-28
-356,-595,-36
-447,-587,-271
-510,-458,-636
-485,-252,-942
-445,8,-1176
-393,387,-1335
-417,768,-1381
-370,1060,-1306
-286,1273,-1217
-216,1365,-1138
-191,1410,-1115
-186,1323,-1161
-232,1092,-1266
-310,681,-1365
-407,250,-1288
-412,-63,-1087
-491,-330,-862
-601,-513,-508
-648,-628,-41
-627,-587,418
-576,-455,783
-512,-276,1053
-428,-71,1256
-342,153,1388
-200,426,1467
-52,786,1452
-111,1088,1413
-178,1297,1375
-270,1462,1306
-407,1555,1252
-561,1510,1298
-835,1352,1377
-1128,1152,1360
-1355,1060,1278
-1493,1068,1148
-1572,1188,1002
-1612,1241,908
-1626,1252,893
-1635,1207,941
-1623,1168,972
-1633,1128,985
-1682,1067,950
-1763,1176,763
-1758,1357,551
-1685,1546,381
-1513,1725,225
-1266,1922,156
-958,2065,131
-630,2141,112
-382,2151,72
-137,2138,61
78,2086,53
230,2027,36
258,1993,-87
100,2017,-317
-326,2022,-625
-982,1872,-725
-1647,1552,-391
-1981,1068,77
-1960,595,513
-1855,268,592
-1721,-40,447
-1448,-271,518
-1106,-468,558
-667,-563,563
-240,-526,501
92,-418,393
350,-247,313
528,-51,303
652,123,342
706,302,396
732,363,370
722,261,107
496,6,-315
118,-261,-490
-156,-437,-378
-337,-558,-168
-401,-578,56
-326,-563,250
-280,-537,332
-251,-535,306
-281,-537,383
-262,-505,506
-205,-455,597
-162,-411,717
-172,-290,933
-175,-127,1120
-57,121,1266
97,292,1286
167,481,1316
335,766,1215
491,1057,1031
613,1276,683
665,1397,276
625,1446,-171
536,1407,-497
496,1336,-658
466,1226,-773
458,1100,-860
442,916,-941
405,628,-985
403,378,-921
415,180,-783
386,3,-653
333,-132,-526
300,-235,-396
277,-332,-168
195,-408,85
27,-485,301
-135,-523,475
-221,-463,686
-256,-381,896
-227,-211,1110
-235,3,1308
-281,182,1413
-405,318,1508
-438,500,1541
-137,686,1492
52,905,1423
81,1133,1337
17,1305,1286
-200,1307,1370
-522,1107,1505
-921,750,1526
-1212,335,1337
-1311,-80,1016
-1171,-418,602
-983,-566,171
-835,-581,-217
-783,-485,-511
-860,-361,-730
-991,-208,-875
-970,-1,-1041
-860,108,-1148
-843,56,-1146
-877,-150,-947
-862,-335,-732
-713,-437,-580
-512,-455,-546
-361,-418,-628
-280,-328,-735
-288,-240,-857
-417,-92,-1043
-538,53,-1158
-571,156,-1232
-582,256,-1263
-641,371,-1288
-668,413,-1283
-690,295,-1258
-776,50,-1133
-842,-173,-936
-945,-378,-625
-1021,-511,-227
-1023,-545,181
-1001,-500,567
-896,-356,893
-881,-77,1220
-767,232,1438
-753,635,1533
-751,1012,1497
-720,1278,1401
-665,1455,1308
-608,1576,1230
-566,1607,1202
-545,1476,1308
-568,1197,1477
-617,747,1553
-716,266,1467
-622,-130,1207
-501,-418,822
-458,-563,447
-366,-616,82
-277,-550,-205
-162,-445,-418
-106,-311,-663
-67,-226,-766
-97,-240,-747
-153,-385,-548
-143,-526,-126
-83,-476,413
-57,-276,886
-172,50,1298
-223,405,1480
-372,745,1548
-526,1042,1513
-748,1288,1401
-840,1431,1301
-788,1407,1340
-678,1223,1470
-662,947,1563
-695,592,1556
-748,132,1401
-893,-258,1033
-931,-455,692
-886,-563,263
-786,-585,-102
-643,-511,-381
-477,-471,-480
-288,-426,-546
-105,-330,-605
106,-180,-641
347,25,-676
563,305,-580
727,533,-401
781,645,-286
767,621,-325
630,431,-561
283,142,-827
-242,-126,-936
-835,-280,-820
-1271,-261,-570
-1563,-121,-411
-1761,126,-320
-1863,455,-306
-1857,818,-388
-1733,1195,-375
-1528,1525,-357
-1233,1772,-332
-937,1927,-271
-671,2003,-192
-440,2025,-80
-272,2017,53
-281,2032,105
-490,2036,87
-808,2007,-1
-1208,1857,-72
-1540,1601,-146
-1820,1178,-212
-1932,652,-227
-1796,80,-166
-1373,-385,-23
-795,-595,65
-200,-545,72
246,-323,85
578,-6,92
773,335,85
835,652,21
832,812,46
835,823,80
816,631,146
703,250,192
391,-185,227
-55,-492,215
-541,-566,308
-935,-495,567
-1028,-328,877
-953,-166,1102
-797,21,1308
-450,297,1485
-240,485,1502
-105,635,1467
-102,692,1475
90,568,1388
153,442,1327
272,332,1200
305,302,1156
391,285,1056
468,203,906
582,137,633
685,100,112
528,42,-475
296,-13,-763
113,-32,-913
-143,-21,-1048
-426,1,-1148
-678,58,-1166
-772,116,-1207
-678,118,-1191
-298,123,-1188
298,123,-867
683,153,-212
716,192,367
543,235,808
108,223,1255
-461,121,1393
-837,82,1360
-928,97,1345
-1215,82,1207
-1675,-16,592
-1701,-95,-67
-1623,-103,-340
-1505,-50,-638
-1227,42,-980
-835,108,-1207
-353,142,-1237
-102,152,-1138
205,182,-975
461,171,-668
501,158,-597
491,173,-610
245,190,-928
-178,240,-1192
-466,345,-1303
-648,455,-1316
-725,595,-1340
-776,776,-1332
-800,957,-1291
-827,1245,-1191
-851,1515,-980
-832,1743,-725
-800,1901,-403
-792,1996,-31
-776,2007,256
-762,1993,431
-751,1993,428
-823,2012,237
-921,1998,-82
-1028,1827,-492
-1177,1550,-803
-1285,1205,-1018
-1306,878,-1127
-1250,568,-1188
-1122,266,-1178
-1036,-21,-1041
-958,-313,-801
-843,-511,-447
-916,-585,-51
-972,-555,332
-1002,-432,700
-982,-240,1008
-1045,-1,1210
-1096,216,1330
-1072,323,1383
-1066,230,1332
-1031,-47,1173
-1018,-330,808
-1133,-468,315
-1278,-402,-156
-1418,-228,-393
-1658,-76,-263
-1782,87,406
-1411,121,1067
-913,158,1347
-310,197,1377
-8,200,1281
105,242,1215
323,350,1107
455,356,962
636,305,607
708,256,311
713,228,122
732,282,95
730,321,240
595,358,771
281,335,1148
-191,258,1381
-648,97,1340
-1053,-35,1166
-1360,-171,811
-1493,-245,372
-1505,-250,-163
-1220,-177,-735
-767,-92,-1026
-351,-23,-1070
-1,68,-997
97,176,-1021
-11,376,-1166
-223,660,-1291
-447,997,-1291
-630,1315,-1168
-725,1598,-918
-765,1825,-592
-753,1933,-313
-676,2017,-82
-598,2020,61
-595,2048,95
-671,2017,-53
-802,1906,-426
-975,1605,-845
-1177,1195,-1075
-1198,737,-1188
-1241,306,-1110
-1300,-56,-862
-1152,-313,-631
-1001,-500,-360
-870,-587,8
-808,-550,480
-716,-405,852
-657,-292,1016
-526,-190,1117
-277,-63,1205
1,90,1188
240,221,1120
385,340,1041
456,416,987
525,505,941
603,592,855
650,697,808
648,800,815
613,873,862
543,976,950
403,1060,1085
116,1155,1271
-403,1223,1423
-913,1323,1335
-1040,1520,1136
-1222,1657,793
